ID;Name;Designator;Footprint;Quantity;Manufacturer Part;Manufacturer;Supplier;Supplier Part
1;TYPE-C-31-M-12;USBC1;USB-C_SMD-TYPE-C-31-M-12;1;TYPE-C-31-M-12;韩国韩荣;LCSC;C165948
2;10nF;C1;C0603;1;CC0603KRX7R9BB103;YAGEO(国巨);LCSC;C100042
3;5.1kΩ;R1,R2;R0603;2;RC0603JR-075K1L;YAGEO(国巨);LCSC;C14677
4;2.2kΩ;R3,R4;R1206;2;1206W4F2201T5E;UNI-ROYAL(厚声);LCSC;C17948
5;DKM10E-12;PS1;DKM10E12;1;DKM10E-12;Mean Well;Oomipood;
6;5x20mm 4A Fuse and its holder;F1;FUSE-HOLDER-WITH-COVER-FOR-5X20MM-FUSE_FOOTPRINT;1;;;Oomipood;
7;12V 3mm LED;LED1,LED2;LED_LED3MM;2;;;Oomipood;
8;10 pins 2,54mm header male;SV1,SV2,SV3,SV4;EURORACK10;4;;;Oomipood;
